id,date,price
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-29,77.69
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-28,79.04
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-27,80.97
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-22,80.23
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-21,80.73
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-20,81.1
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-19,79.82
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-18,78.89
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-15,76.84
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-14,77.05
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-13,74.14
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-12,74.11
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-11,75.75
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-08,75.94
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-07,74.21
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-06,74.33
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-05,77.27
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-04,78.16
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-01,78.72
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-30,81.72
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-29,82.98
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-28,81.66
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-27,79.49
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-24,79.82
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-23,80.85
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-22,81.76
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-21,82.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-20,83.25
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-17,81.22
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-16,77.73
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-15,82.4
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-14,84.2
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-13,84.09
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-10,83.66
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-09,81.74
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-08,81.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-07,83.43
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-06,87.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-03,87.55
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-02,89.02
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-01,86.92
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-31,86.82
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-30,90.73
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-27,90.73
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-26,88.45
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-25,90.14
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-24,88.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-23,91.88
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-20,93.72
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-19,93.12
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-18,91.99
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-17,92.52
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-16,90.99
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-13,94.33
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-12,88.4
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-11,87.58
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-10,90.7
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-09,91.37
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-06,87.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-05,88.28
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-04,89.83
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-03,94.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-10-02,91.21
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-29,95.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-28,96.64
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-27,97.1
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-26,94.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-09-25,94.01
