id,date,price,opec_price
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-29,77.69,78.44
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-28,79.04,80.31
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-27,80.97,81.82
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-22,80.23,81.23
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-21,80.73,80.84
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-20,81.1,81.24
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-19,79.82,79.19
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-18,78.89,78.47
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-15,76.84,78.03
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-14,77.05,76.77
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-13,74.14,73.91
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-12,74.11,77.01
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-11,75.75,77.93
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-08,75.94,77.42
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-07,74.21,76.37
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-06,74.33,78.26
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-05,77.27,79.96
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-04,78.16,79.63
Europe Brent Spot Price FOB (Dollars per Barrel),2023-12-01,78.72,82.54
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-30,81.72,85.0
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-29,82.98,83.89
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-28,81.66,83.4
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-27,79.49,82.75
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-24,79.82,84.16
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-23,80.85,83.78
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-22,81.76,84.46
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-21,82.42,84.75
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-20,83.25,84.44
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-17,81.22,81.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-16,77.73,82.22
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-15,82.4,84.82
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-14,84.2,85.47
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-13,84.09,84.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-10,83.66,83.71
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-09,81.74,83.22
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-08,81.46,84.27
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-07,83.43,86.5
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-06,87.31,88.86
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-03,87.55,89.78
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-02,89.02,89.08
Europe Brent Spot Price FOB (Dollars per Barrel),2023-11-01,86.92,88.54
